roots;terms;sents
wechseln;block, fahrtrichtung, hallgeber;"2 im block von unten zu wechseln und hallgeber oben in fahrtrichtung links ;"
sein;block, stecker, sensoren, hallgeber;"die 2 sensoren die unten im block sind  schwarzer stecker und weißer stecker  und dann eben hallgeber von oben verschraubt ;"
messen sein;werte, stecker, ohm, sensor;"werte von 1kohm hab ich gemessen waren genau 1023 ohm am sensor mit dem weißen stecker ;"
denken;block, stecker, übeltäter, sensor;"ich denke das der sensor der ziemlich weit unten im block steckt und schwarzen stecker hat der übeltäter ist ;"
negativ sein;;"dies ist nämlich negativ  ;"
messen;g4, stecker, spannung;"also der g4 hat schwarzen stecker und an dem kannst du spannung messen ;"
beim;g28;"beim g28 ;"
motordrehzahlgeber;motordrehzahlgeber;"dem motordrehzahlgeber ;"
können;spannung, oszi, stecker, signal;"kannst du  am grauen stecker  keine spannung messen und müsstest mit nem oszi das signal prüfen ;"
einschrauben sein;g4, block, kurbelwelle, zündzeitpunkt;"g4 zündzeitpunkt ist unten links am block eingeschraubt und geht an die kurbelwelle  wange  ;"
sitzen;g28, schwungrad, zähne;"g28 sitzt etwas höher darüber und geht an die zähne vom schwungrad ;"
nicht sollen;g28, halter;"wenn man g28 wechselt sollte man halter nicht verschieben ;"
muss;;"sonst muss der neu eingestellt werden  ;"
g40 sein;kopfventildeckel, nockenwellen, hallgeber, g40;"g40 ist der hallgeber an der linken nockenwellen  hinten am kopfventildeckel  ;"
fehler;g4, fehler;"fehler 00514  g4   ;"
fehler;fehler, g40;"fehler 00515  g40   ;"
fehler;g28, fehler;"fehler 00513  g28 ;"
wechseln;g28;"ok danke g28 hab ich heute gewechselt ;"
defekt sein;nachteil, kabel;"das kabel war auch sehr porös also kein nachteil auch wenn nicht defekt ;"
grüße;grüße;"viele grüße ;"
am;g4, pin, zündung, spannung;"am g4 zwischen pin 1  rot  und pin 2  lila  spannung wenn zündung ein ;"
glaub;;"ich glaub 5v waren das ;"
müsste;;"aber ich müsste mal nachgucken  ;"
kim;;"lg kim ;"
";";zusammenbauen, stecker;"ah ja und nicht die stecker verwechseln bei zusammenbauen  ;"
hab messen;problem, spannung;"das problem ist ich hab heut gemessen und leider kommt keine spannung an ;"
können;steuergerät, 5v, msg;"dann könnt ich dort mal messen ob 5v aus dem steuergerät kommen oder nicht  dann könnt ich schon mal ausschließen ob es das msg ist ;"
oder;kabel, evtl, eimer;"oder ob evtl das kabel nach draußen im eimer ist  ;"
können;lila, stecker, pin, msg, b19;"kannst du am stecker  20polig rot  am msg messen und zwar am pin b19  lila   und 15  rot   ;"
machen;;"ok perfekt mache ;"
ich;;"ich morgen und melde mich wieder ;"
nicht muss;;"muss nicht ;"
brauchen;plus, teuergerät, masseversorgungen;"na das teuergerät braucht ja grundsätzlich mehrere masseversorgungen und plus ;"
liefern;mpfi, sensor, müll;"wobei ausserdem die mpfi auch ausrastet wenn ein sensor mal müll liefert ;"
haben;signal, spannungsspitzen, anschieben, geber;"wir hatten mal so einen noname geber der einfach spannungsspitzen geliefert hat und einen der nur beim anschieben das signal gab ;"
nicht reichen;anlasserdrehzahl;"dem reichte die anlasserdrehzahl manchmal einfach nicht  ;"
danke;pin, belegung, plan, msg;"ok danke hast du mal nen plan über die gesamte pin belegung für das msg ;"
messen;;"dann würde ich hier mal alles messen  ;"
grüße;grüße;"viele grüße ;"
";";;"hallo  ;"
wollen;problem;"wollte mich kurz zurückmelden damit dem nächsten der dieses problem hat auch geholfen werden kann  ;"
kaputt sein;g4;"letztendlich war es der g4 der kaputt war ;"
laufen;fahrzeug;"wurde getauscht seither läuft das fahrzeug ;"
danken;userin, hilfe, kimitation;"vielen dank an alle vor allem der userin kimitation für die tolle hilfe  ;"
hallo;;"hallo zusammen ;"
freuen;problem;"zu früh gefreut  seit heute leider das gleiche problem  ;"
können;g62, sensor, kühlmitteltemperatur;"du könntest kühlmitteltemperatur sensor g62 noch prüfen ;"
nicht springen;abc, werte;"bringt der falsche oder gar keine werte so springt der abc sehr schlecht gar nicht an ;"
können;funktion, sensor;"die funktion kannst du testen in dem du sensor prüfst ;"
müsste;3kohm;"müsste bei ca 3kohm liegen ;"
checken;checkst, temperatur, meßwertblöcke, msg, anpassungskanal;"oder im msg unter meßwertblöcke anpassungskanal 002 die temperatur checkst ;"
hallo;;"hallo ;"
gut sein;g62;"der g62 ist  gut   ;"
auslesen;fahrzeug;"hab das fahrzeug gestern mal ausgelesen  ;"
";";;"   ;"
haben;fehler;"hatte wieder folgende fehler  ;"
";";;"   ;"
hallgeber;hallgeber, g40;"00515 hallgeber  g40  ;"
geber;g4, geber, zündzeitpunkt;"00514 geber für zündzeitpunkt  g4  ;"
";";;"   ;"
löschen;fehler;"hab dann die fehler gelöscht ;"
springen;problem, fahrzeug;"anschließend sprang das fahrzeug ohne problem an  ;"
";";;"   ;"
nicht weis;;"ich weis langsam nicht mehr weiter  ;"
";";;"   ;"
grüße;grüße;"viele grüße ;"
löschen;;"ja wurde gelöscht  jetzt auch wieder  ;"
stehen;;steht eh oben
