index;roots;terms;sents
94;liegen;bilder;die mutter liegt so ungünstig (siehe bilder), dass ich mir nicht zu helfen weiß.  
95;liegen;mutter;die mutter liegt so ungünstig (siehe bilder), dass ich mir nicht zu helfen weiß.  
96;sehen;verteilers;"; beim ersten bild sieht man die angenietete verdeckung des verteilers."
97;sehen;bild;"; beim ersten bild sieht man die angenietete verdeckung des verteilers."
98;sehen;verdeckung;"; beim ersten bild sieht man die angenietete verdeckung des verteilers."
99;sein;schraube;"unter dieser verdeckung ist die schraube. ;"
100;sein;verdeckung;"unter dieser verdeckung ist die schraube. ;"
101;sehen;bild;im zweiten bild ist die schraube zu sehen.
102;sehen;schraube;im zweiten bild ist die schraube zu sehen.
103;halten;spiegel;ich habe einen spiegel unter die abdeckung gehalten.
104;halten;abdeckung;ich habe einen spiegel unter die abdeckung gehalten.
105;sitzen;verteiler finger bombenfest;"; außerdem sitzt der verteiler finger bombenfest."
106;sitzen;bombenfest;"; außerdem sitzt der verteiler finger bombenfest."
107;sitzen;verteiler;"; außerdem sitzt der verteiler finger bombenfest."
108;haben;tipp;"; habt ihr da auch einen tipp  ;   "
109;danke;pfingsten;"; danke im voraus und schöne pfingsten ;"
110;danke;"; danke";"; danke im voraus und schöne pfingsten ;"
111;danke;danke;"; danke im voraus und schöne pfingsten ;"
112;nicht befestigung sein;ng;das ist nicht die befestigung für den ng!
113;nicht befestigung sein;befestigung;das ist nicht die befestigung für den ng!
114;nicht hören;schraube;die schraube gehört da nicht hin.
115;scheinen;originalteil;"; scheint kein originalteil zu sein,,,versuch"
116;scheinen;sein,,,versuch;"; scheint kein originalteil zu sein,,,versuch"
117;abflexen;blech;irgendwie das blech zu lösen.niet abflexen mit
118;abflexen;abflexen;irgendwie das blech zu lösen.niet abflexen mit
119;abflexen;lösen.niet;irgendwie das blech zu lösen.niet abflexen mit
120;drehen;fester;dremel,,etc.dann die mutter lösen.finger fester drehen  
121;drehen;mutter;dremel,,etc.dann die mutter lösen.finger fester drehen  
122;nicht re-links,,ha;dranbleiben,,zuerst;"; re-links,,ha ich auch noch nicht erlebt,,einfach dranbleiben,,zuerst den ganzen verteiler"
123;nicht re-links,,ha;verteiler;"; re-links,,ha ich auch noch nicht erlebt,,einfach dranbleiben,,zuerst den ganzen verteiler"
124;finger;raus,,danach;raus,,danach den finger  
125;finger;finger;raus,,danach den finger  
126;finger;raus,,danach finger;raus,,danach den finger  
127;micha;micha;"mfg micha ;"
128;micha;mfg;"mfg micha ;"
129;micha;mfg micha;"mfg micha ;"
130;dienen;versehen;das dient zur sicherung damit keiner aus versehen die befestigungsmutter am verteiler löst.
131;dienen;verteiler;das dient zur sicherung damit keiner aus versehen die befestigungsmutter am verteiler löst.
132;dienen;sicherung;das dient zur sicherung damit keiner aus versehen die befestigungsmutter am verteiler löst.
133;dienen;befestigungsmutter;das dient zur sicherung damit keiner aus versehen die befestigungsmutter am verteiler löst.
134;dienen;dient;das dient zur sicherung damit keiner aus versehen die befestigungsmutter am verteiler löst.
135;befestigen sein;blech;das blech ist mit einer abreißschraube befestigt.
136;befestigen sein;abreißschraube;das blech ist mit einer abreißschraube befestigt.
137;lösen;schraubendreher meißel;"mit einem schraubendreher oder kleinen meißel die schraube lösen und rausdrehen. ;"
138;lösen;rausdrehen;"mit einem schraubendreher oder kleinen meißel die schraube lösen und rausdrehen. ;"
139;lösen;schraube;"mit einem schraubendreher oder kleinen meißel die schraube lösen und rausdrehen. ;"
140;lösen;meißel;"mit einem schraubendreher oder kleinen meißel die schraube lösen und rausdrehen. ;"
141;bekommen;abrisschraube;oder mitm dremel einen schlitz reinflexen, dann bekommst die abrisschraube auch ab.
142;bekommen;reinflexen;oder mitm dremel einen schlitz reinflexen, dann bekommst die abrisschraube auch ab.
143;bekommen;mitm;oder mitm dremel einen schlitz reinflexen, dann bekommst die abrisschraube auch ab.
144;bekommen;schlitz reinflexen;oder mitm dremel einen schlitz reinflexen, dann bekommst die abrisschraube auch ab.
145;bekommen;dremel;oder mitm dremel einen schlitz reinflexen, dann bekommst die abrisschraube auch ab.
146;würd;blech;das blech würd ich danach weglassen, braucht kein mensch.
147;würd;mensch;das blech würd ich danach weglassen, braucht kein mensch.
148;reimport sein;reimport;"; ist deiner zufällig ein reimport?"
149;kennen;ländern;"ich kenne das sicherungsblech aus importen, in manchen ländern war das wohl vorschrift das da niemand unautorisiert am zündzeitpunkt fummelt ;"
150;kennen;zündzeitpunkt;"ich kenne das sicherungsblech aus importen, in manchen ländern war das wohl vorschrift das da niemand unautorisiert am zündzeitpunkt fummelt ;"
151;mfg;mfg;mfg
152;geben;deutschen zulassungen;"so ein sicherungsblech gab es bei deutschen zulassungen auch. ;"
153;geben;zulassungen;"so ein sicherungsblech gab es bei deutschen zulassungen auch. ;"
154;danken;infos;"vielen dank für eure infos. ;   "
155;danken;dank;"vielen dank für eure infos. ;   "
156;abreissen;abrissschraube;"; dann werde ich die abrissschraube wohl mal ""abreissen"" ;   "
157;abreissen;abreissen;"; dann werde ich die abrissschraube wohl mal ""abreissen"" ;   "
158;brauchen;mensch;"; braucht kein mensch..."
159;reimport sein;reimport;"; es ist kein reimport."
160;autohaus sein;nähe;"der erstbesitzer war ein audi autohaus bei uns in der nähe. ;   "
161;autohaus sein;autohaus;"der erstbesitzer war ein audi autohaus bei uns in der nähe. ;   "
162;autohaus sein;erstbesitzer;"der erstbesitzer war ein audi autohaus bei uns in der nähe. ;   "
163;zerstören;idee;"; habt ihr denn auch eine idee wie ich den verteilerfinger abbekomme ohne diesen zu zerstören... ;   "
164;zerstören;verteilerfinger;"; habt ihr denn auch eine idee wie ich den verteilerfinger abbekomme ohne diesen zu zerstören... ;   "
165;zerstören;abbekomme;"; habt ihr denn auch eine idee wie ich den verteilerfinger abbekomme ohne diesen zu zerstören... ;   "
166;grüße;abend;"; viele grüße und einen schönen abend  ;"
167;grüße;"; grüße";"; viele grüße und einen schönen abend  ;"
168;grüße;grüße;"; viele grüße und einen schönen abend  ;"
169;können;schraube;die schraube kann man ganz normal rausdrehen da muß man nichts abreißen.
170;abdrehen;bügel;die mutter abdrehen und den bügel abnehmen.
171;abdrehen;mutter;die mutter abdrehen und den bügel abnehmen.
172;können;verteiler;wenn der verteiler nicht festgegammelt ist kann man ihn nach oben raus nehmen.
173;nicht vergessen;motor;nicht zu vergessen den motor vorher auf ot stellen.
174;nicht vergessen;ot;nicht zu vergessen den motor vorher auf ot stellen.
175;zeigen;verteilerfinger;am verteiler ist eine markierung für den ersten zylinder dort muß der verteilerfinger hin zeigen.
176;zeigen;markierung;am verteiler ist eine markierung für den ersten zylinder dort muß der verteilerfinger hin zeigen.
177;zeigen;zylinder;am verteiler ist eine markierung für den ersten zylinder dort muß der verteilerfinger hin zeigen.
178;zeigen;verteiler;am verteiler ist eine markierung für den ersten zylinder dort muß der verteilerfinger hin zeigen.
179;hallo;hallo;"hallo, ;"
180;draufgesteckt abnehmen;verteilerkappe;den verteilerfinger (wenn die verteilerkappe abgenommen hast) kannst einfach abzeiehn, der ist nur draufgesteckt und mit einer nase verdrehsicher arretiert.
181;draufgesteckt abnehmen;verteilerfinger;den verteilerfinger (wenn die verteilerkappe abgenommen hast) kannst einfach abzeiehn, der ist nur draufgesteckt und mit einer nase verdrehsicher arretiert.
182;draufgesteckt abnehmen;kannst;den verteilerfinger (wenn die verteilerkappe abgenommen hast) kannst einfach abzeiehn, der ist nur draufgesteckt und mit einer nase verdrehsicher arretiert.
183;draufgesteckt abnehmen;nase;den verteilerfinger (wenn die verteilerkappe abgenommen hast) kannst einfach abzeiehn, der ist nur draufgesteckt und mit einer nase verdrehsicher arretiert.
184;zur;abrisschraube;zur abrisschraube
185;meinen;rausdrehen;: ich hatte gemeint einen schlitz reinflexen, und dann mitm schlitzschraubendreher rausdrehen.
186;meinen;mitm;: ich hatte gemeint einen schlitz reinflexen, und dann mitm schlitzschraubendreher rausdrehen.
187;meinen;reinflexen;: ich hatte gemeint einen schlitz reinflexen, und dann mitm schlitzschraubendreher rausdrehen.
188;nicht heißen;abreissen;die heißt nicht abrisschraube, weil man die abreissen soll.
189;sechskant sein;schraubenkopf;wenn die neu ist, dann ist oben auf dem runden schraubenkopf ein sechskant.
190;sechskant sein;sechskant;wenn die neu ist, dann ist oben auf dem runden schraubenkopf ein sechskant.
191;reißen;kopf;wenn man die schraube reindreht reißt dieser sechskant ab, es bleibt nur der runde kopf (den du jetzt noch siehst) übrig.
192;reißen;sechskant;wenn man die schraube reindreht reißt dieser sechskant ab, es bleibt nur der runde kopf (den du jetzt noch siehst) übrig.
193;reißen;schraube;wenn man die schraube reindreht reißt dieser sechskant ab, es bleibt nur der runde kopf (den du jetzt noch siehst) übrig.
194;abrisschraube;name;daher der name abrisschraube.
195;?;https://www.ost-moped.de/abreisschraube-m6x14-af-172.html;https://www.ost-moped.de/abreisschraube-m6x14-af-172.html?
196;mfg;mfg;mfg  
197;danke;infos;danke euch für die infos.
198;nehmen;woche;"; werde das projekt ende der woche wieder in angriff nehmen."
199;nehmen;ende;"; werde das projekt ende der woche wieder in angriff nehmen."
200;nehmen;angriff;"; werde das projekt ende der woche wieder in angriff nehmen."
201;nehmen;projekt;"; werde das projekt ende der woche wieder in angriff nehmen."
202;gruß;gruß;gruß aus essen
203;gruß;essen;gruß aus essen
204;retten;audi 80 1.8s sport edition;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
205;retten;audi;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
206;retten;moin;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
207;retten;edition;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
208;retten;jungs;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
209;retten;sport;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
210;retten;1.8s;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
211;retten;monaten;moin jungs, habe vor einige monaten ja einen audi 80 1.8s sport edition gerettet.
212;druck auffallen;kupplung;"; nun ist mir aufgefallen das die kupplung ganz unten hängt, und anscheinend ""kein"" druck mehr im system ist."
213;druck auffallen;druck;"; nun ist mir aufgefallen das die kupplung ganz unten hängt, und anscheinend ""kein"" druck mehr im system ist."
214;druck auffallen;system;"; nun ist mir aufgefallen das die kupplung ganz unten hängt, und anscheinend ""kein"" druck mehr im system ist."
215;ordern;geber;ich habe daraufhin jetzt einen geber und einen nehmer zylinder geordert.
216;ordern;zylinder;ich habe daraufhin jetzt einen geber und einen nehmer zylinder geordert.
217;wollen;thema;"; so, da ich mich selbst aber nie mit dem thema auseinandergesetzt habe, wollte ich mal fragen oder mich erkundigen ob das bereits einer getan hat."
218;gehen;erfolg;da der audi lange stand, ging ich davon aus das die kupplung nur entlüftet werden muss, dies habe ich probiert aber ohne nennenswerten erfolg.
219;gehen;kupplung;da der audi lange stand, ging ich davon aus das die kupplung nur entlüftet werden muss, dies habe ich probiert aber ohne nennenswerten erfolg.
220;gehen;audi;da der audi lange stand, ging ich davon aus das die kupplung nur entlüftet werden muss, dies habe ich probiert aber ohne nennenswerten erfolg.
221;habe;auffahrrampen;"; ich habe keine hebebühne zur verfügung und auch keine grube, ich schraube nur mit zwei auffahrrampen."
222;habe;hebebühne;"; ich habe keine hebebühne zur verfügung und auch keine grube, ich schraube nur mit zwei auffahrrampen."
223;habe;grube;"; ich habe keine hebebühne zur verfügung und auch keine grube, ich schraube nur mit zwei auffahrrampen."
224;habe;verfügung;"; ich habe keine hebebühne zur verfügung und auch keine grube, ich schraube nur mit zwei auffahrrampen."
225;grüße;"; liebe grüße";"; liebe grüße.  "
226;grüße;grüße;"; liebe grüße.  "
227;hallo;hallo;"hallo, ;   "
228;erkennen;frage;"; ich erkenne keine frage ehrlich gesagt.. ;   "
229;lösen;kupplungssystem;"; ja, ich hatte mit dem kupplungssystem auch schon stress, konnte bisher aber das problem immer durch entlüften lösen."
230;lösen;entlüften;"; ja, ich hatte mit dem kupplungssystem auch schon stress, konnte bisher aber das problem immer durch entlüften lösen."
231;lösen;stress;"; ja, ich hatte mit dem kupplungssystem auch schon stress, konnte bisher aber das problem immer durch entlüften lösen."
232;lösen;problem;"; ja, ich hatte mit dem kupplungssystem auch schon stress, konnte bisher aber das problem immer durch entlüften lösen."
233;nicht funktionieren;musst;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
234;nicht funktionieren;bremsflüssigkeitsbehälter;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
235;nicht funktionieren;1bar;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
236;nicht funktionieren;entlüften;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
237;nicht funktionieren;getriebe;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
238;nicht funktionieren;bremse;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
239;nicht funktionieren;adapter;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
240;nicht funktionieren;luft;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
241;nicht funktionieren;nehmerzylinder;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
242;nicht funktionieren;nippel;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
243;nicht funktionieren;kompressor;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
244;nicht funktionieren;druck;"entlüften funktioniert aber nicht wie bei der bremse, du musst druck auf den bremsflüssigkeitsbehälter bringen(ich hab mir einen adapter für den kompressor gebastelt, 1bar) und am nippel am nehmerzylinder am getriebe die luft rauslassen. ;   "
245;wissen;möchtest;was möchtest du wissen?
246;mfg;"; mfg";"; mfg ;"
247;mfg;mfg;"; mfg ;"
248;bremse;konntest;"die alten dinger konntest du nie normal entlüften wie ne bremse da der geber nicht über eine automatische nachfüllung ;"
249;bremse;ne;"die alten dinger konntest du nie normal entlüften wie ne bremse da der geber nicht über eine automatische nachfüllung ;"
250;bremse;geber;"die alten dinger konntest du nie normal entlüften wie ne bremse da der geber nicht über eine automatische nachfüllung ;"
251;bremse;nachfüllung;"die alten dinger konntest du nie normal entlüften wie ne bremse da der geber nicht über eine automatische nachfüllung ;"
252;bremse;alten dinger konntest;"die alten dinger konntest du nie normal entlüften wie ne bremse da der geber nicht über eine automatische nachfüllung ;"
253;versehen sein;audianweisung;"versehen ist wie der hauptbremszylinder- ; audianweisung ;"
254;versehen sein;"hauptbremszylinder- ; audianweisung";"versehen ist wie der hauptbremszylinder- ; audianweisung ;"
255;vom;li vorderen radzyl;vom li vorderen radzyl.
256;vom;li;vom li vorderen radzyl.
257;vom;radzyl;vom li vorderen radzyl.
258;schlauch;nehmerzyl.verlegen;"einen schlauch zum nehmerzyl.verlegen. ;"
259;schlauch;schlauch;"einen schlauch zum nehmerzyl.verlegen. ;"
260;entlüfterventil;entlüfterventil;also von entlüfterventil zu entlüfterventil.
261;öffnen;mal;ventil vom radzylinder und nehmerzyl öffnen und ca 10 mal die bremse betätigen.
262;öffnen;bremse;ventil vom radzylinder und nehmerzyl öffnen und ca 10 mal die bremse betätigen.
263;öffnen;ventil;ventil vom radzylinder und nehmerzyl öffnen und ca 10 mal die bremse betätigen.
264;öffnen;ca;ventil vom radzylinder und nehmerzyl öffnen und ca 10 mal die bremse betätigen.
265;öffnen;radzylinder;ventil vom radzylinder und nehmerzyl öffnen und ca 10 mal die bremse betätigen.
266;öffnen;nehmerzyl;ventil vom radzylinder und nehmerzyl öffnen und ca 10 mal die bremse betätigen.
267;ventile;schliessen;danach ventile schliessen.
268;nicht betätigen;kupplung;wichtig ,nicht beim entlüften die kupplung betätigen.
269;nicht betätigen;entlüften;wichtig ,nicht beim entlüften die kupplung betätigen.
270;zitat;zitat;zitat:
271;schreiben;uhr;@stef1992 schrieb am 30. mai 2020 um 18:09:39 uhr:
272;schreiben;mai;@stef1992 schrieb am 30. mai 2020 um 18:09:39 uhr:
273;schreiben;@stef1992;@stef1992 schrieb am 30. mai 2020 um 18:09:39 uhr:
274;hallo;hallo;"; hallo, ;"
275;hallo;"; hallo";"; hallo, ;"
276;wissen;möchtest;was möchtest du wissen?
277;mfg;mfg;mfg
278;tausch machen;komponenten;wie leicht oder schwierig der tausch der beiden komponenten ist, und ob das bereits jemand gemacht hat .
279;tausch machen;tausch;wie leicht oder schwierig der tausch der beiden komponenten ist, und ob das bereits jemand gemacht hat .
280;hallo;hallo;"hallo zusammen, ;"
281;benötigen;gebrauch;ich benötige ab juni ein auto für den alltäglichen gebrauch.
282;benötigen;auto;ich benötige ab juni ein auto für den alltäglichen gebrauch.
283;benötigen;juni;ich benötige ab juni ein auto für den alltäglichen gebrauch.
284;täglich;familie;täglich zur uni und zurück (10 bzw. 20km) sowie am wochenende richtung familie und freunde (insgesamt 200 km).  
285;täglich;wochenende;täglich zur uni und zurück (10 bzw. 20km) sowie am wochenende richtung familie und freunde (insgesamt 200 km).  
286;täglich;freunde;täglich zur uni und zurück (10 bzw. 20km) sowie am wochenende richtung familie und freunde (insgesamt 200 km).  
287;täglich;richtung;täglich zur uni und zurück (10 bzw. 20km) sowie am wochenende richtung familie und freunde (insgesamt 200 km).  
288;täglich;km;täglich zur uni und zurück (10 bzw. 20km) sowie am wochenende richtung familie und freunde (insgesamt 200 km).  
289;täglich;uni;täglich zur uni und zurück (10 bzw. 20km) sowie am wochenende richtung familie und freunde (insgesamt 200 km).  
290;kommen;recherche;nach einiger recherche bin ich auf den audi 80 1.8s mit 90ps und baujahr zwischen 1986 und 1991 gekommen.
291;kommen;audi;nach einiger recherche bin ich auf den audi 80 1.8s mit 90ps und baujahr zwischen 1986 und 1991 gekommen.
